N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,아모레G,"62,600","1,500",+2.45%,500,"51,619","82,458",19.97,"204,953",221.20,4.12,
60,현대건설,"45,200",50,+0.11%,"5,000","50,333","111,356",19.09,"1,500,080",22.04,6.30,
61,유한양행,"73,800","1,200",+1.65%,"1,000","49,340","66,857",20.11,"597,610",28.43,2.43,
62,한국금융지주,"88,100",300,+0.34%,"5,000","49,095","55,726",30.51,"327,383",8.06,18.14,
63,두산중공업,"13,100",200,-1.50%,"5,000","49,077","374,637",10.75,"2,298,443",-2.83,-14.73,
64,녹십자,"417,000","2,000",-0.48%,"5,000","48,733","11,687",20.48,"150,660",111.86,-0.35,
65,이마트,"173,500","1,500",+0.87%,"5,000","48,365","27,876",31.65,"318,461",8.66,2.76,
66,LG이노텍,"204,000","15,500",+8.22%,"5,000","48,281","23,667",32.26,"1,008,355",36.98,4.73,
67,HMM,"14,700",250,-1.67%,"5,000","48,029","326,726",7.72,"3,572,838",-47.42,-55.46,
68,오리온,"120,500",0,0.00%,500,"47,641","39,536",41.84,"93,766",17.40,14.24,
69,SK케미칼,"397,500","5,500",+1.40%,"5,000","46,672","11,741",18.71,"757,850",18.14,1.51,
70,한미약품,"368,500","18,500",+5.29%,"2,500","43,642","11,843",13.71,"66,935","-3,577.67",7.30,
71,한진칼,"65,800",600,+0.92%,"2,500","43,601","66,263",15.36,"90,941",-10.85,-17.56,
72,삼성중공업,"6,790",60,-0.88%,"5,000","42,777","630,000",15.10,"4,158,816",-3.42,-21.88,
73,현대차2우B,"116,000","1,500",-1.28%,"5,000","42,323","36,485",61.32,"269,842",27.72,N/A,
74,현대중공업지주,"266,500","1,500",-0.56%,"5,000","42,103","15,799",17.75,"52,939",-16.14,2.20,
75,SKC,"110,500",500,+0.45%,"5,000","41,844","37,868",8.12,"410,969",49.05,3.86,
76,맥쿼리인프라,"10,600",50,+0.47%,0,"39,452","372,192",13.78,"745,731",N/A,N/A,
77,CJ대한통운,"167,500","2,500",+1.52%,"5,000","38,211","22,812",21.05,"63,429",30.20,1.41,
78,LG화학우,"495,000","1,000",-0.20%,"5,000","38,060","7,689",62.54,"46,523",46.25,N/A,
79,삼성카드,"32,600",100,-0.31%,"5,000","37,770","115,859",10.72,"116,041",9.17,5.04,
80,롯데지주,"35,250",250,-0.70%,200,"36,980","104,909",11.24,"195,135",-5.16,-5.21,
81,삼성증권,"41,350",550,-1.31%,"5,000","36,926","89,300",26.25,"707,239",7.85,8.15,
82,두산퓨얼셀,"55,500","1,100",+2.02%,100,"36,349","65,494",18.38,"1,159,346",162.76,N/A,
83,GS,"38,750",100,+0.26%,"5,000","36,005","92,915",19.34,"292,082",-42.03,6.26,
84,키움증권,"149,500",500,+0.34%,"5,000","35,996","24,077",22.29,"165,960",6.60,16.97,
85,GS건설,"44,050",450,-1.01%,"5,000","35,552","80,708",27.51,"936,018",11.53,11.79,
86,만도,"75,200",0,0.00%,"1,000","35,312","46,957",25.64,"1,707,249",-63.67,7.55,
87,더존비즈온,"115,500","2,500",+2.21%,500,"34,786","30,118",46.62,"115,485",71.78,18.78,
88,쌍용양회,"6,850",10,+0.15%,100,"34,514","503,860",3.25,"1,977,652",27.51,7.02,
89,에스원,"87,000",500,-0.57%,500,"33,059","37,999",56.16,"65,449",22.89,11.32,
90,호텔신라,"84,200",100,-0.12%,"5,000","33,047","39,248",19.82,"484,712",-25.55,20.16,
91,NH투자증권,"11,600",50,-0.43%,"5,000","32,643","281,409",15.20,"978,490",5.64,9.12,
92,두산밥캣,"32,050",50,+0.16%,500,"32,130","100,249",21.81,"413,008",17.34,7.05,
93,대웅,"54,800",300,+0.55%,500,"31,862","58,142",5.17,"1,714,960",63.13,10.43,
94,롯데쇼핑,"112,500","2,500",-2.17%,"5,000","31,825","28,289",11.53,"156,092",-2.37,-8.14,
95,동서,"31,900",400,-1.24%,500,"31,804","99,700",4.14,"164,706",23.00,10.53,
96,한국가스공사,"34,350",650,-1.86%,"5,000","31,710","92,313",8.81,"664,172",-6.32,0.48,
97,CJ,"108,000","1,000",-0.92%,"5,000","31,511","29,177",20.36,"180,046",17.94,6.24,
98,씨에스윈드,"180,500","8,000",+4.64%,500,"31,201","17,286",8.92,"509,963",62.94,9.92,
99,한국항공우주,"31,750","1,700",+5.66%,"5,000","30,948","97,475",14.45,"3,678,616",23.38,15.84,
100,DB하이텍,"68,800","5,400",+8.52%,"5,000","30,546","44,399",25.56,"6,175,302",18.56,17.40,
101,대우조선해양,"26,950",500,-1.82%,"5,000","28,915","107,291",9.36,"336,134",16.58,-1.22,
102,대림산업,"83,000",0,0.00%,"5,000","28,884","34,800",32.33,0,4.39,11.74,
103,DB손해보험,"40,550","1,450",-3.45%,500,"28,709","70,800",41.27,"475,031",5.17,6.92,
104,휠라홀딩스,"46,800",500,-1.06%,"1,000","28,432","60,752",48.70,"311,302",15.78,23.81,
105,TIGER 200,"43,000",370,+0.87%,0,"28,423","66,100",4.79,"1,051,743",N/A,N/A,
106,현대차우,"116,500","1,500",-1.27%,"5,000","28,376","24,357",54.22,"508,474",27.84,N/A,
107,현대오토에버,"133,500","9,500",+7.66%,500,"28,035","21,000",1.16,"284,323",48.78,11.71,
108,일진머티리얼즈,"60,700",700,+1.17%,500,"27,989","46,111",8.85,"430,682",62.97,8.52,
109,대우건설,"6,500",10,+0.15%,"5,000","27,015","415,623",8.25,"6,470,998",14.04,8.80,
110,GS리테일,"35,050",200,-0.57%,"1,000","26,988","77,000",14.79,"222,509",15.98,6.25,
111,삼성엔지니어링,"13,400",200,-1.47%,"5,000","26,264","196,000",24.71,"1,325,055",10.28,24.62,
112,한화생명,"2,975",45,-1.49%,"5,000","25,839","868,530",7.33,"4,867,438",11.31,0.51,
113,팬오션,"4,790",35,-0.73%,"1,000","25,606","534,570",11.64,"1,852,714",18.93,5.49,
114,BGF리테일,"146,500","1,500",+1.03%,"1,000","25,321","17,284",31.33,"32,315",19.35,26.46,
115,현대위아,"93,100","4,500",+5.08%,"5,000","25,319","27,195",11.20,"2,696,798",20.12,1.80,
116,OCI,"103,500",0,0.00%,"5,000","24,684","23,849",20.03,"229,405",-3.34,-26.20,
117,메리츠증권,"3,570",70,-1.92%,"1,000","24,132","675,962",13.28,"3,796,615",4.47,15.06,
118,신세계,"242,500","1,000",-0.41%,"5,000","23,875","9,845",24.48,"97,280",-7.79,14.24,
119,한샘,"101,000","1,000",-0.98%,"1,000","23,769","23,534",23.22,"85,406",35.46,7.32,
120,하이트진로,"33,700",400,-1.17%,"5,000","23,635","70,134",8.79,"621,916",31.85,-3.86,
121,제일기획,"20,500",150,+0.74%,200,"23,583","115,041",32.80,"413,215",17.37,15.09,
122,한화,"31,400",150,+0.48%,"5,000","23,537","74,959",19.90,"630,107",12.80,2.09,
123,LS,"72,300",600,+0.84%,"5,000","23,281","32,200",13.00,"286,485","-1,004.17",0.80,
124,종근당,"200,500","5,500",+2.82%,"2,500","22,909","11,426",13.62,"588,827",23.79,11.94,
125,현대로템,"20,950",150,+0.72%,"5,000","22,865","109,142",4.63,"2,260,050",-11.90,-37.93,
126,한화시스템,"20,150","1,150",+6.05%,"5,000","22,211","110,230",2.62,"1,872,557",28.54,8.15,
127,한솔케미칼,"196,500",500,-0.25%,"5,000","22,195","11,295",39.88,"66,314",18.91,20.88,
128,LS ELECTRIC,"69,200",700,+1.02%,"5,000","20,760","30,000",14.00,"199,827",26.67,7.82,
129,한화에어로스페이스,"40,850","1,700",+4.34%,"5,000","20,682","50,630",18.82,"2,711,135",28.65,5.45,
130,오뚜기,"563,000","2,000",+0.36%,"5,000","20,673","3,672",16.29,"7,346",19.02,7.79,
131,녹십자홀딩스,"43,850",50,+0.11%,500,"20,622","47,028",6.77,"728,644",41.45,0.37,
132,HDC현대산업개발,"31,050",450,+1.47%,"5,000","20,464","65,907",10.61,"1,580,768",7.70,20.30,
133,KODEX 200선물인버스2X,"2,085",30,-1.42%,0,"19,555","937,900",1.62,"378,937,213",N/A,N/A,
134,현대미포조선,"47,950","1,150",-2.34%,"5,000","19,152","39,942",13.15,"380,366",41.27,2.31,
135,현대해상,"21,150",450,-2.08%,500,"18,908","89,400",36.98,"743,698",5.19,6.23,
136,포스코인터내셔널,"15,250",100,-0.65%,"5,000","18,815","123,375",11.05,"549,832",8.41,7.06,
137,대웅제약,"162,000","2,000",+1.25%,"2,500","18,770","11,587",4.94,"224,127","-1,132.87",4.34,
138,BNK금융지주,"5,750",100,-1.71%,"5,000","18,741","325,935",38.34,"2,557,765",3.90,7.07,
139,현대백화점,"79,500",100,-0.13%,"5,000","18,605","23,402",14.68,"137,283",16.29,4.64,
140,KODEX 레버리지,"27,820",435,+1.59%,0,"18,472","66,400",2.49,"41,540,420",N/A,N/A,
141,KODEX 단기채권,"102,665",5,0.00%,0,"18,467","17,988",0.00,"16,447",N/A,N/A,
142,KCC,"206,500","5,500",+2.74%,"5,000","18,351","8,886",11.83,"49,987",-655.56,-4.37,
143,한올바이오파마,"34,850","1,400",+4.19%,500,"18,206","52,241",7.28,"327,341",92.44,14.90,
144,메리츠화재,"14,850",150,+1.02%,500,"17,913","120,625",10.02,"279,377",4.35,12.80,
145,대한유화,"275,000","3,000",-1.08%,"5,000","17,875","6,500",19.45,"86,377",20.13,6.11,
146,현대엘리베이,"43,450",50,-0.11%,"5,000","17,734","40,815",25.58,"268,179",19.46,5.22,
147,명신산업,"43,300",150,-0.35%,500,"17,657","40,779",1.23,"650,312",N/A,53.84,
148,농심,"290,000","2,000",-0.68%,"5,000","17,640","6,083",17.97,"34,806",13.01,3.72,
149,두산인프라코어,"8,160",50,+0.62%,"5,000","17,618","215,913",5.86,"1,815,464",10.53,11.59,
150,KODEX MSCI Korea TR,"13,925",105,+0.76%,0,"17,378","124,800",10.34,"327,086",N/A,N/A,
151,KODEX 삼성그룹,"10,675",35,+0.33%,0,"16,941","158,700",0.03,"434,631",N/A,N/A,
152,아이에스동서,"54,200",100,+0.18%,500,"16,744","30,893",5.45,"98,010",13.07,6.10,
153,KODEX 200TR,"13,835",115,+0.84%,0,"16,498","119,250",0.04,"278,285",N/A,N/A,
154,TIGER MSCI Korea TR,"17,435",85,+0.49%,0,"16,354","93,800",0.01,"274,063",N/A,N/A,
155,부광약품,"24,300",250,+1.04%,500,"15,756","64,838",5.02,"592,393","12,150.00",-2.00,
156,솔루스첨단소재,"51,500",500,+0.98%,100,"15,754","30,590",9.47,"306,456",148.84,N/A,
157,효성,"74,700",100,+0.13%,"5,000","15,740","21,071",6.61,"88,942",-35.02,4.25,
158,KODEX 종합채권(AA-이상)액티브,"110,175",15,+0.01%,0,"15,101","13,706",0.00,"9,389",N/A,N/A,
159,F&F,"98,000",500,+0.51%,500,"15,092","15,400",9.64,"127,981",17.32,25.13,
160,지누스,"104,000","2,000",-1.89%,500,"14,983","14,407",22.75,"56,138",20.99,26.32,
161,영원무역,"33,700",150,-0.44%,500,"14,933","44,311",23.74,"138,145",9.12,9.82,
162,롯데정밀화학,"57,700","2,900",+5.29%,"5,000","14,887","25,800",22.91,"282,573",8.70,11.73,
163,LG생활건강우,"700,000","6,000",+0.86%,"5,000","14,698","2,100",84.30,"3,610",15.68,N/A,
164,한국앤컴퍼니,"15,400",50,-0.32%,500,"14,325","93,020",7.19,"291,839",12.85,4.71,
165,NHN,"71,800","2,000",-2.71%,500,"14,048","19,565",11.70,"156,728",47.83,0.78,
166,세방전지,"98,200",500,-0.51%,500,"13,748","14,000",26.68,"361,512",18.60,7.70,
167,영진약품,"7,280",230,+3.26%,500,"13,315","182,893",4.24,"1,160,050","-1,820.00",4.43,
168,메리츠금융지주,"9,620",40,-0.41%,500,"12,892","134,011",8.27,"117,520",2.77,15.26,
169,이노션,"63,800",800,+1.27%,500,"12,760","20,000",29.62,"73,325",19.87,9.88,
170,후성,"13,650",500,+3.80%,500,"12,641","92,607",4.53,"7,139,817",-248.18,3.85,
171,한전KPS,"28,000",200,-0.71%,200,"12,600","45,000",11.10,"198,146",10.39,14.98,
172,SK네트웍스,"5,030",60,+1.21%,"2,500","12,484","248,188",12.32,"691,072",-21.77,-5.85,
173,신세계인터내셔날,"170,500",500,-0.29%,"5,000","12,174","7,140",4.87,"57,866",27.00,12.98,
174,대한전선,"1,410",20,+1.44%,500,"12,076","856,473",1.81,"7,495,922",-78.33,-3.99,
175,KBSTAR 200,"43,100",315,+0.74%,0,"12,003","27,850",0.12,"78,332",N/A,N/A,
176,DGB금융지주,"7,090",50,-0.70%,"5,000","11,992","169,146",47.25,"652,597",3.62,7.31,
177,SK디스커버리,"62,900",400,+0.64%,"5,000","11,975","19,038",9.84,"128,554",4.13,11.52,
178,보령제약,"22,900","1,500",+7.01%,500,"11,935","52,120",6.92,"6,280,581",41.04,11.96,
179,KODEX 코스닥150 레버리지,"16,340",770,+4.95%,0,"11,928","73,000",2.93,"22,624,574",N/A,N/A,
180,한국콜마,"52,100",500,+0.97%,500,"11,921","22,881",28.00,"283,538",37.48,6.39,
181,효성티앤씨,"273,500","22,000",+8.75%,"5,000","11,836","4,328",17.96,"161,457",13.88,20.86,
182,아시아나항공,"15,750",350,-2.17%,"5,000","11,720","74,412",20.60,"2,497,146",-1.36,-90.67,
183,LG전자우,"67,700","2,800",+4.31%,"5,000","11,635","17,186",37.76,"1,072,509",14.70,N/A,
184,코오롱인더,"42,900",600,+1.42%,"5,000","11,574","26,979",15.74,"217,591",7.68,1.58,
185,더블유게임즈,"62,900",400,-0.63%,500,"11,558","18,375",14.13,"113,308",10.79,18.93,
186,KG동부제철,"11,550",150,-1.28%,"5,000","11,551","100,009",0.17,"179,719",14.02,-7.44,
187,JB금융지주,"5,760",70,-1.20%,"5,000","11,346","196,983",39.30,"454,466",3.28,10.36,
188,KODEX 인버스,"3,890",30,-0.77%,0,"11,102","285,400",2.92,"112,817,510",N/A,N/A,
189,롯데칠성,"122,500","1,000",-0.81%,500,"10,995","8,975",10.77,"31,663",-12.56,-11.68,
190,금호타이어,"3,810",20,+0.53%,"5,000","10,945","287,260",4.75,"776,867",-10.92,-3.30,
191,에스엘,"22,700",200,-0.87%,500,"10,942","48,203",16.26,"2,505,784",24.38,7.25,
192,LG상사,"28,000",100,+0.36%,"5,000","10,853","38,760",22.94,"723,169",7.63,2.49,
193,롯데관광개발,"15,600",50,-0.32%,500,"10,807","69,276",4.82,"353,806",-22.91,-4.77,
194,다우기술,"23,600",0,0.00%,500,"10,589","44,867",22.65,"284,817",3.79,14.62,
195,티와이홀딩스,"27,950",300,-1.06%,500,"10,482","37,501",7.95,"252,937",N/A,N/A,
196,한미반도체,"20,200",50,-0.25%,200,"10,403","51,502",5.21,"763,610",23.63,8.85,
197,일양약품,"54,500",400,+0.74%,"2,500","10,402","19,086",8.11,"200,883",100.74,5.20,
198,코스맥스,"100,500","3,300",+3.40%,500,"10,100","10,050",23.99,"225,602",24.88,10.45,
199,영풍,"542,000","8,000",+1.50%,"5,000","9,984","1,842",4.67,"1,621",5.39,7.40,
200,GKL,"16,000",50,-0.31%,500,"9,897","61,856",6.28,"261,199",-74.42,12.62,
